timestamp, power.draw [W]
2026/02/22 02:12:22.728, 26.69 W
2026/02/22 02:12:23.728, 27.08 W
2026/02/22 02:12:24.728, 27.44 W
2026/02/22 02:12:25.729, 26.93 W
2026/02/22 02:12:26.729, 27.05 W
2026/02/22 02:12:27.729, 26.82 W
2026/02/22 02:12:28.729, 27.01 W
2026/02/22 02:12:29.729, 26.95 W
2026/02/22 02:12:30.729, 26.91 W
2026/02/22 02:12:31.729, 26.99 W
2026/02/22 02:12:32.729, 26.65 W
2026/02/22 02:12:33.730, 26.65 W
2026/02/22 02:12:34.730, 26.68 W
2026/02/22 02:12:35.730, 26.48 W
2026/02/22 02:12:36.730, 26.55 W
2026/02/22 02:12:37.730, 26.58 W
2026/02/22 02:12:38.730, 26.57 W
2026/02/22 02:12:39.731, 26.73 W
2026/02/22 02:12:40.731, 26.60 W
2026/02/22 02:12:41.731, 26.54 W
2026/02/22 02:12:42.731, 26.76 W
2026/02/22 02:12:43.731, 26.40 W
2026/02/22 02:12:44.731, 26.41 W
2026/02/22 02:12:45.731, 26.58 W
2026/02/22 02:12:46.732, 26.60 W
2026/02/22 02:12:47.732, 26.67 W
2026/02/22 02:12:48.732, 26.76 W
2026/02/22 02:12:49.732, 26.67 W
2026/02/22 02:12:50.732, 26.54 W
2026/02/22 02:12:51.732, 26.42 W
2026/02/22 02:12:52.732, 26.24 W
2026/02/22 02:12:53.732, 26.28 W
2026/02/22 02:12:54.733, 26.22 W
2026/02/22 02:12:55.733, 26.33 W
2026/02/22 02:12:56.733, 26.38 W
2026/02/22 02:12:57.733, 26.52 W
2026/02/22 02:12:58.733, 26.39 W
2026/02/22 02:12:59.733, 26.35 W
2026/02/22 02:13:00.733, 26.50 W
2026/02/22 02:13:01.734, 26.63 W
2026/02/22 02:13:02.734, 26.63 W
2026/02/22 02:13:03.734, 26.33 W
2026/02/22 02:13:04.734, 26.63 W
2026/02/22 02:13:05.734, 26.47 W
2026/02/22 02:13:06.734, 26.41 W
2026/02/22 02:13:07.734, 26.56 W
2026/02/22 02:13:08.734, 26.55 W
2026/02/22 02:13:09.735, 26.54 W
2026/02/22 02:13:10.735, 26.26 W
2026/02/22 02:13:11.735, 25.75 W
2026/02/22 02:13:12.735, 26.16 W
2026/02/22 02:13:13.735, 26.71 W
2026/02/22 02:13:14.735, 26.34 W
2026/02/22 02:13:15.735, 26.42 W
2026/02/22 02:13:16.735, 26.17 W
2026/02/22 02:13:17.736, 25.99 W
2026/02/22 02:13:18.736, 26.36 W
2026/02/22 02:13:19.736, 26.19 W
2026/02/22 02:13:20.736, 26.04 W
2026/02/22 02:13:21.736, 25.88 W
2026/02/22 02:13:22.736, 26.18 W
2026/02/22 02:13:23.736, 26.12 W
